LAT,LON,YEAR,MO,DY,WS10M
18.5,71.875,2025,3,7,6.61
18.5,72.5,2025,3,7,6.38
18.5,73.125,2025,3,7,3.94
18.5,73.75,2025,3,7,3.12
18.5,74.375,2025,3,7,2.55
19,71.875,2025,3,7,6.07
19,72.5,2025,3,7,5.93
19,73.125,2025,3,7,3.85
19,73.75,2025,3,7,2.95
19,74.375,2025,3,7,2.6
19.5,71.875,2025,3,7,5.49
19.5,72.5,2025,3,7,5.51
19.5,73.125,2025,3,7,3.88
19.5,73.75,2025,3,7,2.93
19.5,74.375,2025,3,7,2.48
20,71.875,2025,3,7,4.72
20,72.5,2025,3,7,5.16
20,73.125,2025,3,7,3.97
20,73.75,2025,3,7,3.15
20,74.375,2025,3,7,2.5
18.5,71.875,2025,3,8,3.99
18.5,72.5,2025,3,8,4.1
18.5,73.125,2025,3,8,3.31
18.5,73.75,2025,3,8,3.11
18.5,74.375,2025,3,8,2.76
19,71.875,2025,3,8,3.72
19,72.5,2025,3,8,3.7
19,73.125,2025,3,8,3.26
19,73.75,2025,3,8,3.14
19,74.375,2025,3,8,2.9
19.5,71.875,2025,3,8,3.41
19.5,72.5,2025,3,8,3.24
19.5,73.125,2025,3,8,3.2
19.5,73.75,2025,3,8,3.14
19.5,74.375,2025,3,8,2.96
20,71.875,2025,3,8,3.44
20,72.5,2025,3,8,2.89
20,73.125,2025,3,8,2.85
20,73.75,2025,3,8,3.19
20,74.375,2025,3,8,3.28
18.5,71.875,2025,3,9,4.93
18.5,72.5,2025,3,9,5.2
18.5,73.125,2025,3,9,3.44
18.5,73.75,2025,3,9,2.92
18.5,74.375,2025,3,9,3.26
19,71.875,2025,3,9,4.47
19,72.5,2025,3,9,4.57
19,73.125,2025,3,9,3.17
19,73.75,2025,3,9,2.67
19,74.375,2025,3,9,3.14
19.5,71.875,2025,3,9,3.97
19.5,72.5,2025,3,9,3.76
19.5,73.125,2025,3,9,2.95
19.5,73.75,2025,3,9,2.53
19.5,74.375,2025,3,9,2.89
20,71.875,2025,3,9,3.59
20,72.5,2025,3,9,3.27
20,73.125,2025,3,9,2.61
20,73.75,2025,3,9,2.41
20,74.375,2025,3,9,2.82
18.5,71.875,2025,3,10,4.22
18.5,72.5,2025,3,10,4.3
18.5,73.125,2025,3,10,3.62
18.5,73.75,2025,3,10,4.29
18.5,74.375,2025,3,10,4.05
19,71.875,2025,3,10,4.27
19,72.5,2025,3,10,4.02
19,73.125,2025,3,10,3.38
19,73.75,2025,3,10,4.08
19,74.375,2025,3,10,3.79
19.5,71.875,2025,3,10,4.12
19.5,72.5,2025,3,10,3.81
19.5,73.125,2025,3,10,3.37
19.5,73.75,2025,3,10,4.1
19.5,74.375,2025,3,10,3.66
20,71.875,2025,3,10,3.69
20,72.5,2025,3,10,3.49
20,73.125,2025,3,10,3.32
20,73.75,2025,3,10,4.18
20,74.375,2025,3,10,3.64
18.5,71.875,2025,3,11,3.55
18.5,72.5,2025,3,11,4.16
18.5,73.125,2025,3,11,3.22
